kepid,kepoi_name,catalog_period (days),detected_period (days),period_match (%),bls_power,orbital_dist (AU),planet_radius (R_earth),planet_type,stellar_mass (solar),stellar_temp (K),luminosity (solar),hz_inner (AU),hz_outer (AU),in_habitable_zone,quarters_used,kepmag,star_type,au_below_hz_inner,ESI,hz_center (AU),dist_from_hz_center (AU),hz_widths_from_center,radius_diff
10290021,K07305.01,3.7292,5.95,6.37,1841.34151,0.0523,0.8,Rocky,1.37,6215.0,5.6255,2.2532,3.2494,False,1,9.976,6000-7000K (F dwarf),2.2009,0.2752,2.7513,2.6990000000000003,2.709,0.19999999999999996
10352333,K03991.01,1.5706,4.95,5.06,288491.20274,0.0249,1.37,Super-Earth,0.837,5519.0,0.7061,0.7983,1.1512,False,1,13.14,5000-6000K (G dwarf),0.7734,0.2751,0.97475,0.94985,2.692,0.3700000000000001
10066755,K07281.01,2.4651,2.15,12.78,1001778.41655,0.0395,1.14,Rocky,1.356,6881.0,5.9091,2.3093,3.3303,False,1,12.446,6000-7000K (F dwarf),2.2698,0.2745,2.8198,2.7803,2.723,0.1399999999999999
9836563,K04421.01,4.7269,6.85,3.39,17.80324,0.0569,0.61,Rocky,1.1,5950.0,1.6085,1.2049,1.7375,False,1,12.788,5000-6000K (G dwarf),1.148,0.2743,1.4712,1.4143000000000001,2.655,0.39
8007675,K06949.01,2.3524,2.15,8.61,827.60083,0.0366,0.8,Rocky,1.185,6751.0,2.6658,1.5511,2.2368,False,1,12.047,6000-7000K (F dwarf),1.5145,0.274,1.89395,1.85735,2.709,0.19999999999999996
6058816,K03500.02,4.7484,2.25,5.23,22.34086,0.0551,0.57,Rocky,0.988,6085.0,1.1384,1.0136,1.4617,False,1,13.214,6000-7000K (F dwarf),0.9585,0.2739,1.23765,1.18255,2.639,0.43000000000000005
9457728,K04637.01,4.3799,8.65,1.25,367.9639,0.0558,0.73,Rocky,1.21,6390.0,5.1196,2.1495,3.0998,False,1,10.438,6000-7000K (F dwarf),2.0937,0.2728,2.62465,2.56885,2.703,0.27
10319385,K01169.01,0.6892,0.7,1.57,23.13383,0.0156,1.32,Super-Earth,1.064,5630.0,0.8204,0.8605,1.2409,False,1,13.248,5000-6000K (G dwarf),0.8449,0.2727,1.0507,1.0351,2.721,0.32000000000000006
11098013,K02712.01,7.5079,12.0,6.55,14890.07667,0.0825,1.77,Super-Earth,1.329,6408.0,2.7042,1.5622,2.2529,False,1,11.125,6000-7000K (F dwarf),1.4797,0.2725,1.90755,1.82505,2.642,0.77
6029239,K00304.02,5.5182,6.75,18.45,46.2221,0.0607,0.46,Rocky,0.979,5767.0,0.7703,0.8338,1.2024,False,1,12.549,5000-6000K (G dwarf),0.7731,0.2725,1.0181,0.9574,2.597,0.54
